IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,1575.3305084745762,12.688951439269232,1550.0,1571.0,1577.0,1585.0,1600.0
-1,-1,1,32.0,1570.15625,7.9071603932050705,1563.0,1566.0,1567.0,1575.0,1600.0
-1,1,-1,252.0,1572.357142857143,13.732193416469173,1547.0,1563.0,1570.0,1584.0,1597.0
-1,1,1,462.0,1562.073593073593,11.5756024599705,1548.0,1554.0,1557.0,1567.0,1595.0
1,-1,-1,247.0,1529.9149797570851,187.79846937581246,567.0,1561.0,1566.0,1569.0,1591.0
1,-1,1,467.0,1572.2184154175588,15.2147518224975,1550.0,1565.0,1569.0,1575.0,1667.0
1,1,-1,247.0,1569.919028340081,9.946274492884832,1556.0,1563.0,1565.0,1576.0,1593.0
1,1,1,15454.0,1567.1962598679954,5.840564582566939,1550.0,1563.0,1567.0,1570.0,1609.0
