RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,8.970322804581743,0.20911580978742664,6.0,9.0,9.0,9.0,9.0
Low,5757.0,8.943199583116206,0.3518111245429203,6.0,9.0,9.0,9.0,9.0
Healthy,5760.0,8.960590277777778,0.2869064853173685,6.0,9.0,9.0,9.0,9.0
