antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'grab1_num_Low'}),"frozenset({'metal_residue_grab1, tonn_0.4'})",0.35673360726893916,0.9993633890850165,0.35673360726893916,1.0,1.0006370164466063,1.0,0.0002271005081288524,inf,0.0009896536212325962,0.35696085244382664,1.0,0.6784804262219133
frozenset({'grab1_num_Low'}),frozenset({'kind_B 789/BC'}),0.35673360726893916,0.9997106314022802,0.35673360726893916,1.0,1.000289452356142,1.0,0.00010322750369490263,inf,0.00044984255510559365,0.3568368646520782,1.0,0.6784184323260392
frozenset({'grab1_num_Low'}),"frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.35673360726893916,1.0,0.35673360726893916,1.0,1.0,1.0,0.0,inf,0.0,0.35673360726893916,0.0,0.6783668036344696
frozenset({'grab1_num_Low'}),frozenset({'alloy_type_open'}),0.35673360726893916,0.989698477921176,0.35355055269402164,0.9910772225827386,1.0013930956673376,1.0,0.0004918445566219898,1.1545196744340256,0.0021626462494552332,0.3560853345768244,0.13383892700639777,0.6741538969471789
frozenset({'grab1_num_Low'}),"frozenset({'residuals_grab2, tonn_4.0'})",0.35673360726893916,0.9745355634006597,0.349267897447769,0.9790720311486049,1.0046550048231335,1.0,0.0016183105039836998,1.2167657922351467,0.0072029818561021,0.3556694955209807,0.17814915049259986,0.6687331175399773
frozenset({'grab1_num_Low'}),frozenset({'doc_requirement_DOC 34028-2016'}),0.35673360726893916,0.7953006539730308,0.2842757103999074,0.7968851395197923,1.0019923101268005,1.0,0.0005652392447617616,1.0078009336343752,0.003091019120506715,0.32759770574896624,0.007740550116621954,0.5771647353835317
frozenset({'grab1_num_Low'}),"frozenset({'alloy_speed, meter/minute_2.0'})",0.35673360726893916,0.8727935644423868,0.3064413449852422,0.8590201168072681,0.9842191232884281,1.0,-0.00491345165940571,0.9023020354167186,-0.024319579162805527,0.33197492163009407,-0.1082763428968224,0.6050620775005109
frozenset({'grab1_num_Low'}),frozenset({'workpiece_slice_geometry_180x180'}),0.35673360726893916,0.8681057931593263,0.3047630071184675,0.854315379623621,0.9841143629677699,1.0,-0.004919503966322569,0.9053406358195016,-0.024479613261090247,0.33123663353880994,-0.10455662811911019,0.6026910231451439
frozenset({'grab1_num_Low'}),frozenset({'steel_type_Arm500'}),0.35673360726893916,0.7896869031772672,0.2823658776549569,0.7915314730694355,1.0023358243434795,1.0,0.0006580200714929041,1.0088481936306035,0.0036227308144550392,0.3267916945746819,0.008770589754203657,0.5745491736911853
frozenset({'grab1_num_Low'}),"frozenset({'Nb, %_Low'})",0.35673360726893916,0.5151339776607442,0.1828809537588981,0.5126541207008437,0.9951859961341287,1.0,-0.0008846483188162946,0.9949115052260896,-0.007463760391938853,0.265434691306174,-0.005114519982110366,0.433835205502652
