RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,6.358903158625477,3.603692205534617,1.0,3.0,6.0,10.0,12.0
Low,5757.0,6.274795900642696,3.531238359434792,1.0,3.0,6.0,10.0,12.0
Healthy,5760.0,6.377604166666667,3.430750469261891,1.0,4.0,6.0,9.0,12.0
