IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,0.0005008474576271186,0.0001447046876138182,0.0003,0.0004,0.0005,0.0006,0.0008
-1,-1,1,32.0,0.000415625,0.00012210353882483664,0.0003,0.0003,0.0004,0.0005,0.0007
-1,1,-1,252.0,0.0004960317460317461,0.00011424499685719014,0.0001,0.0004,0.0005,0.0006,0.0008
-1,1,1,462.0,0.0004926406926406927,0.0001584563438853855,0.0001,0.0004,0.0005,0.0006,0.0008
1,-1,-1,247.0,0.000565587044534413,0.0005807112609653454,0.0001,0.0004,0.0004,0.0006,0.004
1,-1,1,467.0,0.00045331905781584585,0.00014369701270400368,0.0002,0.0003,0.0004,0.0005,0.001
1,1,-1,247.0,0.0004631578947368422,0.00015134541392953097,0.0002,0.0003,0.0005,0.0006,0.0009
1,1,1,15454.0,0.00043500711789827876,0.00014924932402092647,0.0001,0.0003,0.0004,0.0005,0.001
