IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,4187.669491525424,2104.6431739918544,44.0,2603.0,3757.0,5331.75,11434.0
-1,-1,1,32.0,3967.6875,1096.9163063171757,1050.0,3470.0,4086.0,4485.0,7545.0
-1,1,-1,252.0,4697.853174603175,2660.2592761991127,31.0,2694.5,5255.0,6150.75,12687.0
-1,1,1,462.0,3876.807359307359,2236.7070203082626,27.0,1824.5,3494.0,5878.0,8253.0
1,-1,-1,247.0,73536.34008097165,760458.006156868,203.0,2543.5,4320.0,7473.5,8473135.0
1,-1,1,467.0,6304.740899357602,12891.41040603227,28.0,3113.5,5247.0,8370.5,273270.0
1,1,-1,247.0,6360.753036437247,3490.6946986826956,25.0,4460.0,6077.0,8992.5,15416.0
1,1,1,15454.0,5970.062702213019,3558.9578370357704,24.0,3201.25,5854.0,8666.75,100097.0
