RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,2.0796598403332176,0.2887811847982227,1.0,2.0,2.0,2.0,3.0
Low,5757.0,2.2249435469862777,0.4213091600986604,1.0,2.0,2.0,2.0,3.0
Healthy,5760.0,2.0597222222222222,0.24562699256154982,1.0,2.0,2.0,2.0,3.0
