RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,0.7437970322804581,0.2456190891861175,0.4468,0.5178,0.7018,0.999,1.566
Low,5757.0,0.7625734757686295,0.25653697662367725,0.4453,0.5329,0.7038,0.9952,1.5794
Healthy,5760.0,0.7918866145833333,0.3051524122696888,0.4453,0.5174,0.70615,1.0072,1.5794
