antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Mn,%_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.33393136176862087,0.9993633890850165,0.33393136176862087,1.0,1.0006370164466063,1.0,0.00021258434975718332,inf,0.0009557737422885242,0.3341440815381051,1.0,0.6670720407690526
"frozenset({'Mn,%_Low'})",frozenset({'kind_B 789/BC'}),0.33393136176862087,0.9997106314022802,0.33393136176862087,1.0,1.000289452356142,1.0,9.662924988962374e-05,inf,0.00043444261013112466,0.33402801898807455,1.0,0.6670140094940373
"frozenset({'Mn,%_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.33393136176862087,1.0,0.33393136176862087,1.0,1.0,1.0,0.0,inf,0.0,0.33393136176862087,0.0,0.6669656808843104
"frozenset({'Mn,%_Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.33393136176862087,0.9745355634006597,0.3255396724347474,0.9748700173310226,1.0003431931505873,1.0,0.0001116846564149232,1.0133089598496139,0.0005150751585716261,0.3311940650023552,0.013134157869865264,0.6544579910278844
"frozenset({'Mn,%_Low'})",frozenset({'alloy_type_open'}),0.33393136176862087,0.989698477921176,0.3242664506047804,0.9710571923743501,0.9811646820090284,1.0,-0.0062249098677693016,0.35592684068751,-0.02801380874618244,0.3244730136668983,-1.8095661402449872,0.6493494253784504
"frozenset({'Mn,%_Low'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.33393136176862087,0.7953006539730308,0.31176572718328605,0.9336221837088388,1.1739235709725677,1.0,0.04618989678659713,3.0838517665159553,0.22243321313835093,0.38138053097345126,0.6757301985595208,0.6628160401879952
"frozenset({'Mn,%_Low'})","frozenset({'Ti, %_Low'})",0.33393136176862087,0.4000231494878176,0.22038312402338098,0.6599653379549393,1.6498178637910006,1.0,0.08680284897594145,1.7644579140954597,0.5913391857742314,0.4291187739463601,0.4332536967804954,0.6054456319404327
"frozenset({'Ti, %_Low'})","frozenset({'Mn,%_Low'})",0.4000231494878176,0.33393136176862087,0.22038312402338098,0.5509259259259259,1.6498178637910008,1.0,0.08680284897594145,1.483204390288432,0.656479472275068,0.4291187739463601,0.32578408845895157,0.6054456319404327
"frozenset({'Mn,%_Low'})","frozenset({'steel_weight_theoretical, tonn_Low'})",0.33393136176862087,0.45291972915099254,0.1699751143005961,0.5090121317157712,1.1238462335697432,1.0,0.01873101237333022,1.1142439685135097,0.16544624829591834,0.2755417956656347,0.10253047962729402,0.44214981745512555
"frozenset({'Mn,%_Low'})","frozenset({'steel_weight, tonn_Low'})",0.33393136176862087,0.45291972915099254,0.1699751143005961,0.5090121317157712,1.1238462335697432,1.0,0.01873101237333022,1.1142439685135097,0.16544624829591834,0.2755417956656347,0.10253047962729402,0.44214981745512555
"frozenset({'Mn,%_Low'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.33393136176862087,0.8727935644423868,0.32594478847155506,0.9760831889081455,1.1183437054004273,1.0,0.03449164495442031,5.318703863532071,0.15887328666695624,0.3700637361193245,0.8119842680363266,0.6747666126889378
"frozenset({'Mn,%_Low'})","frozenset({'V, %_Low'})",0.33393136176862087,0.35083048787545573,0.2684183112448637,0.8038128249566724,2.291171527948918,1.0,0.15126500867866316,3.308929403673692,0.8460720561754715,0.6447039199332778,0.6977874478404513,0.7844534266650733
"frozenset({'V, %_Low'})","frozenset({'Mn,%_Low'})",0.35083048787545573,0.33393136176862087,0.2684183112448637,0.7650940283734742,2.2911715279489187,1.0,0.15126500867866316,2.835469160785549,0.868096932738121,0.6447039199332778,0.6473246777535199,0.7844534266650733
"frozenset({'Mn,%_Low'})","frozenset({'crystallizer_movement, mm_Low'})",0.33393136176862087,0.6223161062561491,0.2202095028647491,0.6594454072790294,1.0596630886612433,1.0,0.01239863805208749,1.1090259882453026,0.08453157096160473,0.29918226136184933,0.09830787501905452,0.5066500727458106
"frozenset({'Mn,%_Low'})",frozenset({'workpiece_slice_geometry_180x180'}),0.33393136176862087,0.8681057931593263,0.322182996701198,0.9648180242634316,1.1114060427498555,1.0,0.03229524703227543,3.748914155028016,0.15049324570895645,0.3661777280799842,0.7332560953259473,0.6679756787983824
