RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,0.016178583825060742,0.039542640523712806,0.001,0.01,0.01,0.01,0.8
Low,5757.0,0.01640455098141393,0.03289943719079721,0.001,0.01,0.01,0.01,0.8
Healthy,5760.0,0.017021527777777778,0.04346301581577114,0.001,0.01,0.01,0.01,0.8
