IsolationForest,LOF,OneClassSVM,sleeve,count
1,-1,-1,30014184,3
1,-1,-1,30014142,3
1,-1,-1,30014144,3
1,-1,-1,30014136,3
1,-1,-1,30014807,3
1,-1,-1,30014135,3
1,-1,-1,30013864,2
1,-1,-1,30013863,2
1,-1,-1,30013866,2
1,-1,-1,30013865,2
1,-1,-1,30013868,2
1,-1,-1,30012088,2
1,-1,-1,30012910,2
1,-1,-1,30012907,2
1,-1,-1,30011717,2
1,-1,-1,30012905,2
1,-1,-1,30014183,2
1,-1,-1,30014185,2
1,-1,-1,30014187,2
1,-1,-1,30014189,2
1,-1,-1,30014138,2
1,-1,-1,30014191,2
1,-1,-1,30014188,2
1,-1,-1,30014190,2
1,-1,-1,30014078,2
1,-1,-1,30014192,2
1,-1,-1,30013359,2
1,-1,-1,30013876,2
1,-1,-1,30014811,2
1,-1,-1,30014139,2
1,-1,-1,30013349,1
1,-1,-1,30013351,1
1,-1,-1,30013347,1
1,-1,-1,30014141,1
1,-1,-1,30014193,1
1,-1,-1,30013867,1
1,-1,-1,30013871,1
1,-1,-1,30013875,1
1,-1,-1,30013873,1
1,-1,-1,30014143,1
1,-1,-1,83898,1
1,-1,1,30014144,23
1,-1,1,30014817,20
1,-1,1,30014136,19
1,-1,1,30014810,16
1,-1,1,30014138,15
1,-1,1,30014808,15
1,-1,1,30014142,13
1,-1,1,30014141,12
1,-1,1,30014812,12
1,-1,1,30014811,11
1,-1,1,30014803,11
1,-1,1,30014824,11
1,-1,1,30014184,10
1,-1,1,30013873,10
1,-1,1,30014183,9
1,-1,1,30014189,9
1,-1,1,30014185,9
1,-1,1,30014186,9
1,-1,1,30013359,9
1,-1,1,30013876,9
1,-1,1,30014820,9
1,-1,1,30014825,9
1,-1,1,30014187,8
1,-1,1,30014815,8
1,-1,1,30014807,8
1,-1,1,30013875,7
1,-1,1,30014804,7
1,-1,1,30014816,7
1,-1,1,30013870,6
1,-1,1,30013871,6
1,-1,1,30014809,6
1,-1,1,30014819,6
1,-1,1,30013863,5
1,-1,1,30013865,5
1,-1,1,30013866,5
1,-1,1,30013868,5
1,-1,1,30013353,5
1,-1,1,30014143,5
1,-1,1,30014821,5
1,-1,1,30014818,5
1,-1,1,30012261,4
1,-1,1,30013350,4
1,-1,1,30013864,4
1,-1,1,30013349,4
1,-1,1,30012903,4
1,-1,1,30013874,4
1,-1,1,30014140,4
1,-1,1,83898,4
1,-1,1,30014814,4
1,-1,1,30013346,3
1,-1,1,30012909,3
1,-1,1,30014085,3
1,-1,1,30014193,3
1,-1,1,30014806,3
1,-1,1,30014139,3
1,-1,1,530314 К,3
1,-1,1,30014135,3
1,-1,1,30012904,2
1,-1,1,30012910,2
1,-1,1,30012907,2
1,-1,1,30014083,2
1,-1,1,30014084,2
1,-1,1,30014192,2
1,-1,1,30014190,2
1,-1,1,30013867,2
1,-1,1,30013347,1
1,-1,1,30013351,1
1,-1,1,30011717,1
1,-1,1,30012905,1
1,-1,1,30014082,1
1,-1,1,30014077,1
1,-1,1,30013363,1
1,-1,1,30014134,1
1,-1,1,30014191,1
